VIDEO_ID	VIEWS	RATE	RATINGS	COMMENTS
9qhv9stfv0U	299	4.65	20	32
aZEcwFc5UeM	584	4.07	30	115
lDhHQQYO0EA	236	5	11	19
49RSV7JTZZ0	290	4.1	21	14
PgDGix1B-0c	219	4	10	40
UZLjrnwvmEk	117	0	0	3
Ub9sbJHCCyA	168	5	1	0
wMCElK7w_VE
1KDT2sLOfhI	2775	4.81	62	29
Ty00T8Xo2OM	4370	4.78	81	50
1RbEvSq5jk8	411	5	5	3
ed47BKyiMgE	50	5	1	1
VqtVUkjowBY	5884	4.88	26	3
HGkoKEM-r4s	147	3.44	16	14
RkU14KGpJ28	265	5	8	25
9-nMBqQVOtQ	1112	3.75	4	0
lFQxk0LkE3c	858	3.33	3	4
uOzLH6HpmNU	25	0	0	0
uWG9edH3Mug	690	4.08	13	8
rV4XNXA94Og	391	4.53	17	32
ylICGRiPF0g	83	5	1	3
jvNenRbSqQk	455	2	4	5
augJplzfRtg	341	3.4	5	8
YHiYxm4j7wg	97	2.25	4	7
KJ6kPmfM018	944	4.58	38	68
DhLO-8potNw	143	5	2	9
uF0PLhWBBNs	61	5	4	12
0uei0rqQ8wc	145	3.71	7	9
ejZN5VW3g2k	163	5	4	5
0MjU1grswMw	14	0	0	0
kD8Gu5RJfXk	245	4.9	10	8
sBjl9eGYlW4	24	0	0	0
xf2w0z6gcao	30	5	1	1
iDVYpWCv-9Q	5	0	0	0
zXplpTojcwY	230	4.53	17	10
atcUf9rl4Z0	82	5	3	4
wL9wZSIeT9E	1438	4	2	8
pZnp3MZXDrs	5063	3.5	4	28
VJnCBn8ZTck	1385	4	2	7
3vV4ekVNkDQ	1196	5	3	2
heuyyryzkaA	83	5	1	2
1gk-8P4w3SQ	1834	4.32	47	105
zYsb3vxeurA	303	4.8	5	4
_GU3veYF33U	251	2	4	2
SzopL86WqUg	202	1	1	2
Vf_0dpEyOxE	99	4.25	4	1
wNsZOXYCNSU	76	4.5	2	4
hMYe9X5jg4s	53	1	1	2
0AoTSHudFzs	17	0	0	0
PXXOfd3i-6s	37	0	0	0
eeN5764Ozww	4811	4.79	14	7
UXJLiDcrXMA	33	0	0	0
whlVyCph8Dk	901	4.71	7	3
JH11Qs2Nmqs	2028	4.5	6	3
goq-SnEBuoo	115	2.6	5	3
4aV076QEzQo	11906	3.82	11	76
rEPExnENYwQ	273	4.77	31	51
98BMkVoZ1KU	34	4.33	3	2
MYaQ4wqABkY	39	5	1	6
_gkJS02nJ_0	18	0	0	0
Wbmc3FLe1JE	25	5	1	0
